Date,datevalue,t,Close
2005-03-02,38413,2005.169,10.68
2005-03-01,38412,2005.167,10.79
2005-02-28,38411,2005.158,10.7
2005-02-25,38408,2005.15,10.99
2005-02-24,38407,2005.147,10.4
2005-02-23,38406,2005.144,10.19
2005-02-22,38405,2005.142,10.21
2005-02-18,38401,2005.131,10.67
2005-02-17,38400,2005.128,10.5
2005-02-16,38399,2005.125,10.95
2005-02-15,38398,2005.122,11.25
2005-02-14,38397,2005.119,11.16
2005-02-11,38394,2005.111,11.15
2005-02-10,38393,2005.108,11.33
2005-02-09,38392,2005.106,11.47
2005-02-08,38391,2005.103,11.5
2005-02-07,38390,2005.1,11.53
2005-02-04,38387,2005.092,12.02
2005-02-03,38386,2005.089,11.9
2005-02-02,38385,2005.086,11.22
2005-02-01,38384,2005.083,11.48
2005-01-31,38383,2005.083,11.5
2005-01-28,38380,2005.075,11.44
2005-01-27,38379,2005.072,11.21
2005-01-26,38378,2005.069,11.03
2005-01-25,38377,2005.067,11.33
2005-01-24,38376,2005.064,11.14
2005-01-21,38373,2005.056,11.04
2005-01-20,38372,2005.053,11.09
2005-01-19,38371,2005.05,11.07
2005-01-18,38370,2005.047,11.3
2005-01-14,38366,2005.036,11.33
2005-01-13,38365,2005.033,10.86
2005-01-12,38364,2005.031,10.75
2005-01-11,38363,2005.028,11.01
2005-01-10,38362,2005.025,11.27
2005-01-07,38359,2005.017,11.12
2005-01-06,38358,2005.014,11.05
2005-01-05,38357,2005.011,11.2
2005-01-04,38356,2005.008,11.66
2005-01-03,38355,2005.006,11.92
2004-12-31,38352,2005,12.33
2004-12-30,38351,2004.997,12.68
2004-12-29,38350,2004.994,12.63
2004-12-28,38349,2004.992,12.1
2004-12-27,38348,2004.989,11.6
2004-12-23,38344,2004.978,11.53
2004-12-22,38343,2004.975,11.7
2004-12-21,38342,2004.972,12.6
2004-12-20,38341,2004.969,12.7
2004-12-17,38338,2004.961,12.98
2004-12-16,38337,2004.958,13.36
2004-12-15,38336,2004.956,12.82
2004-12-14,38335,2004.953,12.6
2004-12-13,38334,2004.95,12.78
2004-12-10,38331,2004.942,11.74
2004-12-09,38330,2004.939,11.73
2004-12-08,38329,2004.936,11.31
2004-12-07,38328,2004.933,11.67
2004-12-06,38327,2004.931,11.2
2004-12-03,38324,2004.922,11.3
2004-12-02,38323,2004.919,11.35
2004-12-01,38322,2004.917,11.25
2004-11-30,38321,2004.914,11.38
2004-11-29,38320,2004.911,11.42
2004-11-26,38317,2004.903,11.35
2004-11-24,38315,2004.897,11.36
2004-11-23,38314,2004.894,10.95
2004-11-22,38313,2004.892,11.31
2004-11-19,38310,2004.883,11.25
2004-11-18,38309,2004.881,11.92
2004-11-17,38308,2004.878,10.46
2004-11-16,38307,2004.875,10.82
2004-11-15,38306,2004.872,11.23
2004-11-12,38303,2004.864,10.86
2004-11-11,38302,2004.861,10.75
2004-11-10,38301,2004.858,10.38
2004-11-09,38300,2004.856,10.66
2004-11-08,38299,2004.853,10.86
2004-11-05,38296,2004.844,10.92
2004-11-04,38295,2004.842,10.57
2004-11-03,38294,2004.839,10.12
2004-11-02,38293,2004.836,9.91
2004-11-01,38292,2004.833,9.43
2004-10-29,38289,2004.828,9.47
2004-10-28,38288,2004.825,9.59
2004-10-27,38287,2004.822,9.68
2004-10-26,38286,2004.819,9.61
2004-10-25,38285,2004.817,9.99
2004-10-22,38282,2004.808,9.8
2004-10-21,38281,2004.806,10.07
2004-10-20,38280,2004.803,10.1
2004-10-19,38279,2004.8,9.93
2004-10-18,38278,2004.797,9.87
2004-10-15,38275,2004.789,10.3
2004-10-14,38274,2004.786,17.43
2004-10-13,38273,2004.783,17.35
2004-10-12,38272,2004.781,17.28
2004-10-11,38271,2004.778,17.43
2004-10-08,38268,2004.769,16.76
2004-10-07,38267,2004.767,17.54
2004-10-06,38266,2004.764,17.95
2004-10-05,38265,2004.761,18.05
2004-10-04,38264,2004.758,17.25
2004-10-01,38261,2004.75,16.33
2004-09-30,38260,2004.747,15.42
2004-09-29,38259,2004.744,16.38
2004-09-28,38258,2004.742,16.39
2004-09-27,38257,2004.739,16.34
2004-09-24,38254,2004.731,16.65
2004-09-23,38253,2004.728,16.8
2004-09-22,38252,2004.725,16.85
2004-09-21,38251,2004.722,17.51
