Datevalue,Date,t,Close
08.07.1929,1929-07-08,1929.519,346.55
09.07.1929,1929-07-09,1929.522,345.57
10.07.1929,1929-07-10,1929.525,343.3
11.07.1929,1929-07-11,1929.528,343.04
12.07.1929,1929-07-12,1929.531,346.37
13.07.1929,1929-07-13,1929.533,345.94
15.07.1929,1929-07-15,1929.539,341.93
16.07.1929,1929-07-16,1929.542,344.24
17.07.1929,1929-07-17,1929.544,345.63
18.07.1929,1929-07-18,1929.547,344.59
19.07.1929,1929-07-19,1929.55,345.2
20.07.1929,1929-07-20,1929.553,345.87
22.07.1929,1929-07-22,1929.558,341.37
23.07.1929,1929-07-23,1929.561,345.48
24.07.1929,1929-07-24,1929.564,343.04
25.07.1929,1929-07-25,1929.567,344.67
26.07.1929,1929-07-26,1929.569,345.47
27.07.1929,1929-07-27,1929.572,343.73
29.07.1929,1929-07-29,1929.578,339.21
30.07.1929,1929-07-30,1929.581,343.12
31.07.1929,1929-07-31,1929.583,347.7
01.08.1929,1929-08-01,1929.583,350.56
02.08.1929,1929-08-02,1929.586,353.08
03.08.1929,1929-08-03,1929.589,355.62
05.08.1929,1929-08-05,1929.594,352.5
06.08.1929,1929-08-06,1929.597,351.39
07.08.1929,1929-08-07,1929.6,348.44
08.08.1929,1929-08-08,1929.603,352.1
09.08.1929,1929-08-09,1929.606,337.99
10.08.1929,1929-08-10,1929.608,344.84
12.08.1929,1929-08-12,1929.614,351.13
13.08.1929,1929-08-13,1929.617,354.03
14.08.1929,1929-08-14,1929.619,354.86
15.08.1929,1929-08-15,1929.622,354.42
16.08.1929,1929-08-16,1929.625,361.49
17.08.1929,1929-08-17,1929.628,360.7
19.08.1929,1929-08-19,1929.633,365.2
20.08.1929,1929-08-20,1929.636,367.67
21.08.1929,1929-08-21,1929.639,365.55
22.08.1929,1929-08-22,1929.642,369.95
23.08.1929,1929-08-23,1929.644,374.61
24.08.1929,1929-08-24,1929.647,375.44
26.08.1929,1929-08-26,1929.653,374.46
27.08.1929,1929-08-27,1929.656,373.79
28.08.1929,1929-08-28,1929.658,372.06
29.08.1929,1929-08-29,1929.661,376.18
30.08.1929,1929-08-30,1929.664,380.33
03.09.1929,1929-09-03,1929.672,381.17
04.09.1929,1929-09-04,1929.675,379.61
05.09.1929,1929-09-05,1929.678,369.77
06.09.1929,1929-09-06,1929.681,376.29
07.09.1929,1929-09-07,1929.683,377.56
09.09.1929,1929-09-09,1929.689,374.93
10.09.1929,1929-09-10,1929.692,367.29
11.09.1929,1929-09-11,1929.694,370.91
12.09.1929,1929-09-12,1929.697,366.35
13.09.1929,1929-09-13,1929.7,366.85
14.09.1929,1929-09-14,1929.703,367.01
16.09.1929,1929-09-16,1929.708,372.39
17.09.1929,1929-09-17,1929.711,368.52
18.09.1929,1929-09-18,1929.714,370.9
19.09.1929,1929-09-19,1929.717,369.97
20.09.1929,1929-09-20,1929.719,362.05
21.09.1929,1929-09-21,1929.722,361.16
23.09.1929,1929-09-23,1929.728,359
24.09.1929,1929-09-24,1929.731,352.61
25.09.1929,1929-09-25,1929.733,352.57
26.09.1929,1929-09-26,1929.736,355.95
27.09.1929,1929-09-27,1929.739,344.87
28.09.1929,1929-09-28,1929.742,347.17
30.09.1929,1929-09-30,1929.747,343.45
01.10.1929,1929-10-01,1929.75,342.57
02.10.1929,1929-10-02,1929.753,344.5
03.10.1929,1929-10-03,1929.756,329.95
04.10.1929,1929-10-04,1929.758,325.17
05.10.1929,1929-10-05,1929.761,341.36
07.10.1929,1929-10-07,1929.767,345.72
08.10.1929,1929-10-08,1929.769,345
09.10.1929,1929-10-09,1929.772,346.66
10.10.1929,1929-10-10,1929.775,352.86
11.10.1929,1929-10-11,1929.778,352.69
14.10.1929,1929-10-14,1929.786,350.97
15.10.1929,1929-10-15,1929.789,347.24
16.10.1929,1929-10-16,1929.792,336.13
17.10.1929,1929-10-17,1929.794,341.86
18.10.1929,1929-10-18,1929.797,333.29
19.10.1929,1929-10-19,1929.8,323.87
21.10.1929,1929-10-21,1929.806,320.91
22.10.1929,1929-10-22,1929.808,326.51
23.10.1929,1929-10-23,1929.811,305.85
24.10.1929,1929-10-24,1929.814,299.47
25.10.1929,1929-10-25,1929.817,301.22
26.10.1929,1929-10-26,1929.819,298.97
28.10.1929,1929-10-28,1929.825,260.64
29.10.1929,1929-10-29,1929.828,230.07
30.10.1929,1929-10-30,1929.831,258.47
31.10.1929,1929-10-31,1929.833,273.51
04.11.1929,1929-11-04,1929.842,257.68
06.11.1929,1929-11-06,1929.847,232.13
07.11.1929,1929-11-07,1929.85,238.19
08.11.1929,1929-11-08,1929.853,236.53
11.11.1929,1929-11-11,1929.861,220.39
12.11.1929,1929-11-12,1929.864,209.74
13.11.1929,1929-11-13,1929.867,198.69
14.11.1929,1929-11-14,1929.869,217.28
15.11.1929,1929-11-15,1929.872,228.73
18.11.1929,1929-11-18,1929.881,227.56
19.11.1929,1929-11-19,1929.883,234.02
20.11.1929,1929-11-20,1929.886,241.23
21.11.1929,1929-11-21,1929.889,248.49
22.11.1929,1929-11-22,1929.892,245.74
25.11.1929,1929-11-25,1929.9,243.44
26.11.1929,1929-11-26,1929.903,235.35
27.11.1929,1929-11-27,1929.906,238.95
02.12.1929,1929-12-02,1929.919,241.7
03.12.1929,1929-12-03,1929.922,249.61
04.12.1929,1929-12-04,1929.925,254.64
05.12.1929,1929-12-05,1929.928,251.51
06.12.1929,1929-12-06,1929.931,260.12
07.12.1929,1929-12-07,1929.933,263.46
09.12.1929,1929-12-09,1929.939,259.18
10.12.1929,1929-12-10,1929.942,262.2
11.12.1929,1929-12-11,1929.944,258.44
12.12.1929,1929-12-12,1929.947,243.14
13.12.1929,1929-12-13,1929.95,249.6
14.12.1929,1929-12-14,1929.953,253.02
16.12.1929,1929-12-16,1929.958,245.88
17.12.1929,1929-12-17,1929.961,249.58
18.12.1929,1929-12-18,1929.964,246.84
19.12.1929,1929-12-19,1929.967,240.42
20.12.1929,1929-12-20,1929.969,230.89
21.12.1929,1929-12-21,1929.972,235.42
23.12.1929,1929-12-23,1929.978,232.65
24.12.1929,1929-12-24,1929.981,234.07
26.12.1929,1929-12-26,1929.986,240.96
27.12.1929,1929-12-27,1929.989,240.66
28.12.1929,1929-12-28,1929.992,238.43
30.12.1929,1929-12-30,1929.997,241.06
31.12.1929,1929-12-31,1930,248.48
02.01.1930,1930-01-02,1930.003,244.2
03.01.1930,1930-01-03,1930.006,247.19
04.01.1930,1930-01-04,1930.008,248.85
06.01.1930,1930-01-06,1930.014,248.1
07.01.1930,1930-01-07,1930.017,246.5
08.01.1930,1930-01-08,1930.019,245.7
09.01.1930,1930-01-09,1930.022,249.68
10.01.1930,1930-01-10,1930.025,250.03
11.01.1930,1930-01-11,1930.028,248.71
13.01.1930,1930-01-13,1930.033,249.62
14.01.1930,1930-01-14,1930.036,250.44
15.01.1930,1930-01-15,1930.039,251.54
16.01.1930,1930-01-16,1930.042,248.99
17.01.1930,1930-01-17,1930.044,246.33
